source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	confidence	source	prediction_type	prediction_source
mondo	mondo:0018714	primary intralymphatic angioendothelioma	skos:exactMatch	icd11	icd11:432094068	Dabska tumour	semapv:SemanticSimilarityThresholdMatching	0.55	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0001725	balanitis xerotica obliterans	skos:exactMatch	icd11	icd11:43210204	Lichen sclerosus of penis	semapv:SemanticSimilarityThresholdMatching	0.79	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0001465	superficial keratitis	skos:exactMatch	icd11	icd11:432374757	Other superficial keratitis without conjunctivitis	semapv:SemanticSimilarityThresholdMatching	0.84	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0010121	thrombocytopenia-absent radius syndrome	skos:exactMatch	icd11	icd11:433927766	Thrombocytopaenia - absent radius	semapv:SemanticSimilarityThresholdMatching	0.8	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0010878	hereditary spastic paraplegia 6	skos:exactMatch	icd11	icd11:434114972	Autosomal dominant spastic paraplegia type 6	semapv:SemanticSimilarityThresholdMatching	0.9	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0018694	isolated tracheo-esophageal fistula	skos:exactMatch	icd11	icd11:43431231	Oesophagotracheal fistula	semapv:SemanticSimilarityThresholdMatching	0.77	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0043549	crush syndrome	skos:exactMatch	icd11	icd11:434408458	Traumatic anuria, not elsewhere classified	semapv:SemanticSimilarityThresholdMatching	0.56	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0037821	porphyrin metabolism disease	skos:exactMatch	icd11	icd11:434825283	Inborn errors of porphyrin or heme metabolism	semapv:SemanticSimilarityThresholdMatching	0.95	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0008288	popliteal cyst	skos:exactMatch	icd11	icd11:435131151	Synovial cyst of popliteal space	semapv:SemanticSimilarityThresholdMatching	0.76	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0005644	amebiasis	skos:exactMatch	icd11	icd11:435671752	Amoebiasis	semapv:SemanticSimilarityThresholdMatching	0.79	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0002705	breast mucinous cystadenocarcinoma	skos:exactMatch	icd11	icd11:435734579	Mucinous cystadenocarcinoma of breast	semapv:SemanticSimilarityThresholdMatching	0.8	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0800445	Birt-Hogg-Dube syndrome 1	skos:exactMatch	icd11	icd11:436079981	Birt-Hogg-Dubé syndrome	semapv:SemanticSimilarityThresholdMatching	0.77	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0005775	G6PD deficiency	skos:exactMatch	icd11	icd11:436346335	Glucose-6-phosphate dehydrogenase deficiency	semapv:SemanticSimilarityThresholdMatching	0.85	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0002432	malignant neoplasm of acoustic nerve	skos:exactMatch	icd11	icd11:437258238	Malignant neoplasm of the acoustic nerve	semapv:SemanticSimilarityThresholdMatching	0.9	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0007374	Schnyder corneal dystrophy	skos:exactMatch	icd11	icd11:437801959	Schnyder crystalline corneal dystrophy	semapv:SemanticSimilarityThresholdMatching	1.0	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0004765	intrinsic asthma	skos:exactMatch	icd11	icd11:438028710	Non-allergic asthma, uncomplicated	semapv:SemanticSimilarityThresholdMatching	0.83	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0010437	severe X-linked mitochondrial encephalomyopathy	skos:exactMatch	icd11	icd11:438251472	Combined oxidative phosphorylation deficiency type 6	semapv:SemanticSimilarityThresholdMatching	0.97	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:1030003	Mycoplasmoides infection	skos:exactMatch	icd11	icd11:438419889	Mycoplasma infection of unspecified site	semapv:SemanticSimilarityThresholdMatching	0.94	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0003885	colorectal lipoma	skos:exactMatch	icd11	icd11:439338179	Lipoma of large intestine	semapv:SemanticSimilarityThresholdMatching	0.8	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0009715	myotonia congenita, autosomal recessive	skos:exactMatch	icd11	icd11:439347096	Myotonia congenita, recessive	semapv:SemanticSimilarityThresholdMatching	0.65	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0009677	autosomal recessive limb-girdle muscular dystrophy type 2C	skos:exactMatch	icd11	icd11:440038386	Limb-girdle muscular dystrophy 2C, gamma-sarcoglycan deficiency	semapv:SemanticSimilarityThresholdMatching	0.75	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0002250	basilar artery insufficiency	skos:exactMatch	icd11	icd11:440367679	Basilar artery syndrome	semapv:SemanticSimilarityThresholdMatching	0.8	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0003189	middle ear adenocarcinoma	skos:exactMatch	icd11	icd11:440376179	Adenocarcinoma of middle ear	semapv:SemanticSimilarityThresholdMatching	0.77	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0019395	Hinman syndrome	skos:exactMatch	icd11	icd11:440438107	Non-neurogenic neurogenic bladder	semapv:SemanticSimilarityThresholdMatching	0.9	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0022096	pyogenic granuloma	skos:exactMatch	icd11	icd11:440675859	Lobular capillary haemangioma	semapv:SemanticSimilarityThresholdMatching	0.66	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0002118	urinary system disorder	skos:exactMatch	icd11	icd11:4407978	Certain specified diseases of urinary system	semapv:SemanticSimilarityThresholdMatching	0.71	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0006026	urinary bladder disorder	skos:exactMatch	icd11	icd11:4407978	Certain specified diseases of urinary system	semapv:SemanticSimilarityThresholdMatching	0.77	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0010096	tardive dyskinesia	skos:exactMatch	icd11	icd11:44142106	Tardive dystonia	semapv:SemanticSimilarityThresholdMatching	0.88	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0002002	postsurgical hypothyroidism	skos:exactMatch	icd11	icd11:441607893	Postprocedural hypothyroidism	semapv:SemanticSimilarityThresholdMatching	0.79	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0009145	SchC6pf-Schulz-Passarge syndrome	skos:exactMatch	icd11	icd11:441760957	Schöpf-Schulz-Passarge syndrome	semapv:SemanticSimilarityThresholdMatching	0.69	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0015761	trisomy 10p	skos:exactMatch	icd11	icd11:442413368	10p duplication	semapv:SemanticSimilarityThresholdMatching	0.65	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0043233	exfoliative dermatitis	skos:exactMatch	icd11	icd11:444139015	Erythroderma	semapv:SemanticSimilarityThresholdMatching	0.82	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0007104	amyotrophic lateral sclerosis-parkinsonism-dementia complex	skos:exactMatch	icd11	icd11:444249101	Amyotrophic lateral sclerosis-parkinsonism-dementia complex of West New Guinea	semapv:SemanticSimilarityThresholdMatching	0.6	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0030706	Trichomonas cystitis	skos:exactMatch	icd11	icd11:445216879	Cystitis in trichomoniasis	semapv:SemanticSimilarityThresholdMatching	0.85	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0013445	complement component 9 deficiency	skos:exactMatch	icd11	icd11:446269999	Complement component C9 deficiency	semapv:SemanticSimilarityThresholdMatching	0.81	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0030038	hereditary glaucoma, primary closed-angle	skos:exactMatch	icd11	icd11:446416176	Primary angle closure or angle closure glaucoma	semapv:SemanticSimilarityThresholdMatching	0.47	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0000936	syphilitic meningitis	skos:exactMatch	icd11	icd11:44646083	Meningitis due to Treponema pallidum	semapv:SemanticSimilarityThresholdMatching	0.71	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0012238	progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 2	skos:exactMatch	icd11	icd11:446775180	Progressive external ophthalmoplegia, autosomal dominant, type 2	semapv:SemanticSimilarityThresholdMatching	0.78	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0002108	thyroid cancer	skos:exactMatch	icd11	icd11:447433352	Malignant neoplasms of thyroid gland	semapv:SemanticSimilarityThresholdMatching	1.05	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0015377	third branchial cleft anomaly	skos:exactMatch	icd11	icd11:447434750	3rd Branchial cleft cyst	semapv:SemanticSimilarityThresholdMatching	0.86	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0040676	great vessel cancer	skos:exactMatch	icd11	icd11:447975613	Malignant neoplasm of great vessels	semapv:SemanticSimilarityThresholdMatching	0.85	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0003432	strabismus	skos:exactMatch	icd11	icd11:448678712	Squint	semapv:SemanticSimilarityThresholdMatching	0.53	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0016129	eosinophilic gastroenteritis	skos:exactMatch	icd11	icd11:448959702	Eosinophilic enteritis	semapv:SemanticSimilarityThresholdMatching	0.77	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0000686	alexia without agraphia	skos:exactMatch	icd11	icd11:449003271	Visual verbal agnosia	semapv:SemanticSimilarityThresholdMatching	0.62	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
